Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,44283,x,ARI,"W,12-5",9,9,5,5,0,0,10,2,0,5,35,125,91,0,0,0,0,33,4,0,0,0,2,0,1,3,Brian Gorman,"H.Ryu (99-68-W), Y.Garcia (99), B.Stewart (99)"
2,2,44284,x,ARI,"L,4-5",13,10,5,2,3,6,15,1,0,2.86,56,232,142,2,2,1,0,50,3,0,2,0,0,0,0,8,Scott Barry,"R.Stripling (99-66), S.Alexander (99-H), P.Baez (99-H), J.Kelly (99-BSv), 
K.Jansen (99), C.Ferguson (99), D.Floro (99), Y.Garcia (0-L)"
3,3,44285,x,ARI,"W,18-5",9,7,5,5,0,3,7,4,0,3.48,35,146,94,1,0,0,0,32,0,0,0,0,0,0,2,3,Tripp Gibson,"K.Maeda (99-56-W), B.Stewart (1), R.Martin (99)"
4,4,44286,x,ARI,"W,8-7",9,13,7,7,0,1,4,1,0,4.28,40,160,111,2,2,2,0,39,2,1,0,0,0,0,1,7,Nic Lentz,"W.Buehler (99-28), P.Baez (1), S.Alexander (1), Y.Garcia (1), C.Ferguson 
(1), D.Floro (1-W), K.Jansen (1-Sv)"
5,5,44287,x,SFG,"L,2-4",9,9,4,4,0,0,11,1,1,4.22,37,145,97,3,2,0,0,36,4,0,0,0,0,0,0,5,Larry Vanover,"J.Urias (99-68), J.Kelly (2-BL), S.Alexander (0), D.Floro (0), P.Baez (0)"
6,6,44288,x,SFG,"W,6-5",9,9,5,4,1,2,8,1,0,4.19,36,131,83,2,2,0,0,34,1,0,0,0,0,1,3,4,Alfonso Marquez,"H.Ryu (4-62-W), C.Ferguson (1), Y.Garcia (1), K.Jansen (1-Sv)"
7,7,44289,x,SFG,"W,5-3",9,6,3,3,0,1,5,2,1,4.03,34,115,83,0,0,0,0,32,0,0,0,0,0,0,0,4,Dan Bellino,"R.Stripling (4-51), S.Alexander (1-W), C.Ferguson (0-H), K.Jansen (0-Sv)"
8,8,44291,@,COL,"W,10-6",9,10,6,6,0,6,7,3,0,4.26,41,174,102,1,0,0,0,34,0,0,0,0,1,0,1,7,Lance Barrett,"K.Maeda (5-55-W), D.Floro (3), B.Stewart (5), S.Alexander (1), P.Baez (3), 
J.Kelly (3), Y.Garcia (2)"
9,9,44292,@,COL,"W,7-2",9,6,2,2,0,4,6,1,0,4.02,36,149,96,5,1,0,0,32,1,0,0,0,0,0,1,6,Mike Everitt,"W.Buehler (5-59-W), P.Baez (0-H), Y.Garcia (0), C.Ferguson (2), D.Floro 
(0-H), K.Jansen (2-Sv)"
10,10,44293,@,COL,"W,12-6",9,10,6,6,0,5,8,0,2,4.21,43,156,99,3,2,0,0,34,1,3,0,0,2,0,0,4,Bill Welke,"J.Urias (5-39), J.Kelly (1-W), C.Ferguson (0), D.Santana (99)"
11,11,44294,@,STL,"L,3-4",8,5,4,4,0,2,4,1,0,4.24,30,111,70,1,1,0,0,28,1,0,0,0,0,0,1,5,Jansen Visconti,"H.Ryu (5-43), D.Floro (1), S.Alexander (2-H), J.Kelly (0-BL), P.Baez (1)"
12,12,44295,@,STL,"L,0-4",8,6,4,4,0,4,12,1,1,4.25,36,145,97,0,0,1,0,31,4,0,0,0,0,1,0,4,Doug Eddings,"R.Stripling (5-45-L), C.Ferguson (1), J.Chargois (99), Y.Garcia (2)"
13,13,44296,@,STL,"L,2-7",8,10,7,7,0,1,6,2,0,4.5,34,118,84,0,0,1,0,32,1,1,0,1,0,0,0,4,Chris Conroy,"K.Maeda (4-38-L), S.Alexander (1), D.Santana (2), J.Chargois (0)"
14,14,44297,@,STL,"L,7-11",8,10,11,9,2,4,10,0,2,4.86,41,174,108,0,0,2,0,33,2,0,0,1,1,1,0,5,Bill Miller,"W.Buehler (4-35), P.Baez (2-L), Y.Garcia (1), J.Schultz (99), D.Floro (2)"
15,15,44298,x,MIL,"L,5-8",9,12,8,7,1,2,7,2,1,5,42,152,97,1,0,1,0,38,1,0,0,0,1,1,1,5,Brian Knight,"J.Urias (4-36-L), J.Kelly (3), S.Alexander (1), D.Floro (0), K.Jansen (5)"
16,16,44299,x,MIL,"L,1-4",9,9,4,4,0,5,10,2,1,4.94,41,153,100,4,0,0,0,35,1,0,0,0,0,0,1,6,Jeremie Rehak,"C.Ferguson (3-46-L), D.Santana (2), Y.Garcia (1), S.Alexander (0), P.Baez 
(1), J.Schultz (1)"
17,17,44300,x,MIL,"W,7-1",9,4,1,1,0,2,5,0,0,4.71,32,109,71,0,0,0,0,29,2,0,0,0,1,0,1,2,Gerry Davis,"R.Stripling (4-72-W), J.Schultz (0)"
18,18,44301,x,CIN,"W,4-3",9,7,3,3,0,0,10,1,0,4.61,32,121,82,0,0,0,1,32,1,0,0,0,0,0,1,3,Angel Hernandez,"C.Kershaw (99-65), P.Baez (1), K.Jansen (2-W)"
19,19,44302,x,CIN,"W,6-1",9,4,1,1,0,3,6,0,0,4.42,34,131,85,0,0,0,0,31,3,0,0,0,0,0,0,4,Ed Hickox,"K.Maeda (5-64-W), S.Alexander (2-H), J.Kelly (3), Y.Garcia (2)"
20,20,44303,x,CIN,"W,3-2",9,3,2,0,2,1,10,0,1,4.2,32,127,80,3,1,1,0,29,0,0,0,0,1,1,0,4,Nick Mahrley,"W.Buehler (5-72-W), S.Alexander (0-H), P.Baez (1-H), K.Jansen (1-Sv)"
21,21,44304,@,MIL,"W,3-1",9,5,1,1,0,2,12,1,0,4.05,33,143,91,1,0,1,0,31,0,0,0,0,0,0,0,4,Jeff Kellogg,"J.Urias (5-77-W), C.Ferguson (4-H), J.Kelly (1-H), K.Jansen (0-Sv)"
22,22,44305,@,MIL,"W,5-3",9,7,3,3,0,4,14,2,1,4,37,160,97,4,0,0,1,32,0,0,0,0,0,0,1,6,Brian O'Nora,"R.Stripling (4-53), S.Alexander (1), D.Floro (6), P.Baez (1-W), J.Kelly 
(0-H), K.Jansen (0-Sv)"
23,23,44306,@,MIL,"L,0-5",8,8,5,5,0,2,11,3,0,4.06,34,125,85,2,0,0,0,32,2,0,1,0,0,0,0,4,James Hoye,"H.Ryu (11-57-L), D.Floro (0), C.Ferguson (1), Y.Garcia (3)"
24,24,44307,@,MIL,"W,6-5",9,6,5,5,0,4,11,2,1,4.1,37,146,94,2,2,2,0,32,0,1,0,0,0,0,1,4,Mark Ripperger,"C.Kershaw (5-63), S.Alexander (1-H), P.Baez (1-H), K.Jansen (1-BW)"
25,25,44309,@,CHC,"L,2-7",8,8,7,7,0,6,9,2,0,4.24,37,131,88,0,0,0,0,31,2,0,1,0,0,0,2,4,Ted Barrett,"K.Maeda (6-26-L), J.Urias (4), C.Ferguson (2), Y.Garcia (2)"
